similarity_score,name,homepage,description,status,abbreviation,countries,year_created,funder,funder_type,contact_name,contact_email,data_access_condition,publications
0.459,HUNT Databank,https://hunt-db.medisin.ntnu.no/hunt-db/,"HUNT Databank is a research database hosted by the Department of Public Health and Nursing at NTNU (Norwegian University of Science and Technology). It provides access to data from the HUNT (Health Study of Nord-Trøndelag) studies, covering health, genetics, lifestyle, and epidemiological variables.",ready,,Norway,,,,General Contact,kontakt@hunt.ntnu.no,open,
0.4531,Vivli,https://vivli.org/,"The Vivli data repository provides a global data-sharing and analytics platform serving all elements of the international research community. It is focused on sharing individual participant-level data from completed clinical trials to serve the international research community. Vivli acts as a neutral broker between data contributor and data user and the wider data sharing community. Vivli is a non-profit organization focused on data sharing and analysis. Vivli provides managed access for human subject clinical research data. At a minimum, Vivli will make data available for researchers for 10 years, unless they are contractually unable to do so. On an ongoing basis, Vivli evaluates its data holdings with regard to maintaining access and reserves the right to discontinue the distribution of a data collections when deemed appropriate.When materials are deaccessioned, the data are no longer publicly accessible at Vivli, although they may still be preserved in Vivli’s storage vault. Because digital files are assigned a persistent digital object identifier (DOI), the study description is still available to view, but is not searchable through Vivli. Web crawlers are instructed to ignore the descriptions (via the robots exclusion protocol).
For more information about Vivli’s policy, please contact Vivli at support@vivli.org
It provides a no-charge period for data only available within their secure research environment. There are costs after the no-charge time period ends. Vivli supports managed access as well as embargoing generally and during peer review. Vivli is funded via grants and member fees.",ready,Vivli,Worldwide,2018,"Laura and John Arnold Foundation, USA; Lyda Hill Foundation, United States; The Wellcome Trust, UK; Leona M. and Harry B. Helmsley Charitable Trust, USA; Doris Duke Charitable Foundation, United States; Phrma; Bill and Melinda Gates Foundation, Seattle, Washington, USA",Charitable foundation; Company,Julie Wood,jwood@vivli.org,controlled,
0.4374,German Portal for Medical Research Data,https://forschen-fuer-gesundheit.de/,"The FDPG is the German Portal for Medical Research Data, a central online platform that allows researchers to request and access pseudonymized patient data and biosamples from routine clinical care at German university hospitals for scientific studies. It was developed as part of the Medical Informatics Initiative (MII) and harmonizes data from multiple university medical sites under common standards to support research while complying with data protection regulations.",ready,FDPG,Germany,,Federal Ministry of Education and Research,Government body,General Contact,info@forschen-fuer-gesundheit.de,controlled,
0.4138,National Institute of Mental Health Data Archive,https://nda.nih.gov,"The National Institute of Mental Health Data Archive (NDA), originally established to support autism research, is an informatics platform and data repository that facilitates data sharing across all of mental health and other research communities, combining data from each of these repositories into a single resource with a single process for gaining access to all shared data. While querying and browsing data is publicly available, all subject-level data is available behind a login.",ready,NDA,United States,,"National Institute of Mental Health (NIMH), Bethesda, MD, USA; National Institute of Environmental Health Sciences (NIEHS), National Institutes of Health (NIH), North Carolina, USA; Eunice Kennedy Shriver National Institute of Child Health and Human Development; National Institute of Neurological Disorders and Stroke (NINDS), Bethesda, MD, USA",Government body; Undefined,NDA Helpdesk,ndahelp@mail.nih.gov,partially open,
0.4101,Australian New Zealand Clinical Trials Registry,http://www.anzctr.org.au/,"The Australian New Zealand Clinical Trials Registry (ANZCTR) is an online register of clinical trials being undertaken in Australia, New Zealand and elsewhere. The ANZCTR includes trials from the full spectrum of therapeutic areas of pharmaceuticals, surgical procedures, preventive measures, lifestyle, devices, treatment and rehabilitation strategies and complementary therapies. The ANZCTR mandatory data items comply with the minimum dataset requirements of the International Committee of Medical Journal Editors (ICMJE) and the World Health Organization (WHO).",ready,ANZCTR,"Australia, New Zealand",,National Collaborative Research Infrastructure Strategy; Australian Government - department of Health; Health Research Council of New Zealand; Therapeutic innovation Australia,Government body,,,open,
0.41,International Traditional Medicine Clinical Trial Registry,http://www.isrctn.com/,"The ISRCTN registry is a primary clinical trial registry recognised by WHO and ICMJE that accepts all clinical research studies (whether proposed, ongoing or completed), providing content validation and curation and the unique identification number necessary for publication. All study records in the database are freely accessible and searchable.",ready,ISRCTN Registry,United Kingdom,2000,"Medical Research Council; Department of Health, UK; Canadian Institutes of Health Research; The Wellcome Trust",Charitable foundation; Government body,,,open,
0.404,Medical Data Models,https://medical-data-models.org,"MDM-Portal (Medical Data-Models) is a meta-data registry for creating, analysing, sharing and reusing medical forms, developed by the Institute of Medical Informatics, Heidelberg University Hospital in Germany. see also https://doi.org/10.1055/s-0044-1786839 Electronic forms for documentation of patient data are an integral part within the workflow of physicians. A huge amount of data is collected either through routine documentation forms (EHRs) for electronic health records or as case report forms (CRFs) for clinical trials. This raises major scientific challenges for health care, since different health information systems are not necessarily compatible with each other and thus information exchange of structured data is hampered. Software vendors provide a variety of individual documentation forms according to their standard contracts, which function as isolated applications. Furthermore, free availability of those forms is rarely the case. Currently less than 5 % of medical forms are freely accessible. Based on this lack of transparency harmonization of data models in health care is extremely cumbersome, thus work and know-how of completed clinical trials and routine documentation in hospitals are hard to be re-used. The MDM-Portal serves as an infrastructure for academic (non-commercial) medical research to contribute a solution to this problem. It already contains more than 25,000 system-independent forms (CDISC ODM Format, www.cdisc.org, Operational Data Model) with more than 600,000 data-elements. This enables researchers to view, discuss, download and export forms in most common technical formats such as PDF, CSV, Excel, SQL, SPSS, R, etc. A growing user community will lead to a growing database of medical forms. In this matter, we would like to encourage all medical researchers to register and add forms and discuss existing forms.",ready,MDM,Worldwide,2011,Deutsche Forschungsgemeinschaft,Government body,Martin Dugas,martin.dugas@med.uni-heidelberg.de,open,10.1093/database/bav121; 10.1055/s-0044-1786839
0.3929,UMIN Clinical Trials Registry,https://www.umin.ac.jp/ctr/index.htm,"UMIN-CTR is a Clinical Trials Registry hosted by the japanese University Hospital Medical Information Network (UMIN). UMIN-CTR has been recognized by the ICMJE as an ""acceptable registry"". At a minimum, a paper should be received for consideration by an ICMJE-affiliated journal, if the corresponding trial is registered by the appropriate deadline with UMIN-CTR. The WHO is developing the International Clinical Trials Registry Platform (ICTRP) project in order to collect various clinical trial registry systems throughout the world under fixed standards as ""member registries"" and ""associate registries. """,ready,UMIN-CTR,Japan,1989,"Ministry of Education, Culture, Sports, Science and Technology of Japan (MEXT), Tokyo, Japan",Government body,,,open,
0.3903,LSHTM Research Online,https://researchonline.lshtm.ac.uk/,LSHTM Research Online is a freely accessible open access repository of research conducted by staff from the London School of Hygiene & Tropical Medicine.,ready,,"Gambia, Uganda, United Kingdom",2011,,,LSHTM Research Publications Team,researchonline@lshtm.ac.uk,open,
0.3848,Clinical Trials Information System,https://euclinicaltrials.eu/,"The Clinical Trials Information System (CTIS) is the online system for the regulatory submission, authorisation and supervision of clinical trials in the European Union and the European Economic Area. From 31 January 2023, all initial clinical trial applications in the European Union (EU) must be submitted via the Clinical Trials Information System (CTIS). CTIS is now the single-entry point for sponsors and regulators of clinical trials for the submission and assessment of clinical trial data. This follows a one-year transition, during which sponsors could choose whether to apply for a new clinical trial in the EU/EEA in line with the Clinical Trials Directive or under the new Clinical Trials Regulation (CTR), which entered into application on 31 January 2022.",ready,CTIS,European Union,2022,,,General Website Information,ct.communication@ema.europa.eu,open,
